iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
47,0.6965,-0.018588055,0.566762,-0.7982099,0.008503052,0.95425373,0.054872144,-0.018588055,-0.4851737,0.53858644
48,0.6964,-0.018805021,0.56615865,-0.79810053,0.008499885,0.95387775,0.055165738,-0.018805021,-0.48421583,0.53857285
49,0.6964,-0.019018902,0.5655582,-0.797993,0.0084932,0.9535041,0.05545723,-0.019018902,-0.48327747,0.53854847
50,0.6964,-0.019229826,0.5649605,-0.7978872,0.008483143,0.9531327,0.055746697,-0.019229826,-0.48235786,0.5385138
51,0.6964,-0.019437917,0.56436545,-0.79778314,0.008469852,0.9527635,0.056034204,-0.019437917,-0.48145622,0.53846925
52,0.6964,-0.019643296,0.563773,-0.79768074,0.0084534595,0.9523964,0.05631982,-0.019643296,-0.48057187,0.5384153
53,0.6964,-0.019846072,0.56318307,-0.7975799,0.008434094,0.9520314,0.056603614,-0.019846072,-0.4797041,0.5383524
54,0.6964,-0.020046359,0.5625956,-0.7974806,0.008411878,0.9516683,0.056885645,-0.020046359,-0.47885227,0.5382808
55,0.6963,-0.020244258,0.5620105,-0.7973828,0.0083869295,0.95130724,0.057165973,-0.020244258,-0.47801572,0.538201
56,0.6963,-0.020439869,0.5614277,-0.7972864,0.008359362,0.95094806,0.057444658,-0.020439869,-0.47719386,0.5381133
57,0.6963,-0.020633286,0.56084716,-0.7971914,0.008329283,0.95059067,0.057721753,-0.020633286,-0.4763861,0.5380181
58,0.6963,-0.0208246,0.5602688,-0.79709774,0.008296797,0.95023507,0.057997312,-0.0208246,-0.4755919,0.5379157
59,0.6963,-0.021013895,0.5596926,-0.79700536,0.008262003,0.9498812,0.05827139,-0.021013895,-0.47481072,0.5378064
60,0.6963,-0.021201257,0.5591185,-0.7969142,0.008224997,0.94952905,0.05854403,-0.021201257,-0.47404206,0.5376905
61,0.6963,-0.021386761,0.5585464,-0.7968243,0.00818587,0.9491785,0.058815278,-0.021386761,-0.4732854,0.5375684
62,0.6963,-0.021570485,0.5579763,-0.7967355,0.00814471,0.9488296,0.059085187,-0.021570485,-0.47254032,0.53744024
63,0.6962,-0.021752499,0.55740815,-0.7966479,0.008101603,0.9484822,0.059353795,-0.021752499,-0.47180632,0.53730637
64,0.6962,-0.021932874,0.5568419,-0.79656136,0.008056628,0.9481364,0.059621144,-0.021932874,-0.471083,0.5371671
65,0.6962,-0.022111675,0.5562775,-0.7964758,0.008009862,0.94779205,0.059887275,-0.022111675,-0.4703699,0.53702253
66,0.6962,-0.022288963,0.5557149,-0.7963913,0.007961381,0.94744915,0.060152225,-0.022288963,-0.4696667,0.53687304
