iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.7086,0.0,0.6249695,-0.19866514,0.0,-0.17367339,-0.46933484,0.0,-0.9092798,0.2580874
1,0.7076,-0.0025310896,0.62186307,-0.19629495,0.001695657,-0.17757101,-0.46835434,-0.0025310896,-0.9064799,0.25500968
2,0.7068,-0.0047883033,0.6188829,-0.19399177,0.00330639,-0.1812277,-0.46742323,-0.0047883033,-0.90378284,0.25207835
3,0.706,-0.006788075,0.6160234,-0.19175176,0.0048380075,-0.18465878,-0.46653828,-0.006788075,-0.9011797,0.24928412
4,0.7053,-0.008545944,0.61327916,-0.18957134,0.0062958812,-0.18787876,-0.46569648,-0.008545944,-0.89866227,0.2466183
5,0.7046,-0.010076602,0.610645,-0.18744715,0.0076849815,-0.19090134,-0.46489507,-0.010076602,-0.8962235,0.24407288
6,0.7041,-0.011393907,0.60811585,-0.18537606,0.009009906,-0.19373941,-0.46413144,-0.011393907,-0.8938568,0.2416404
7,0.7035,-0.012510922,0.6056869,-0.18335517,0.010274912,-0.19640513,-0.4634032,-0.012510922,-0.8915565,0.23931393
8,0.7031,-0.013439949,0.60335356,-0.18138173,0.011483942,-0.19890991,-0.46270812,-0.013439949,-0.88931733,0.23708703
9,0.7026,-0.014192565,0.6011114,-0.17945322,0.012640645,-0.2012645,-0.46204412,-0.014192565,-0.88713473,0.23495372
10,0.7022,-0.014779659,0.5989562,-0.17756726,0.013748405,-0.20347898,-0.4614093,-0.014779659,-0.8850045,0.23290843
11,0.7019,-0.015211459,0.596884,-0.17572162,0.014810359,-0.2055628,-0.4608019,-0.015211459,-0.882923,0.23094599
12,0.7015,-0.015497574,0.59489095,-0.17391422,0.015829416,-0.20752485,-0.46022025,-0.015497574,-0.8808868,0.22906159
13,0.7012,-0.01564703,0.5929735,-0.17214313,0.016808277,-0.20937343,-0.45966282,-0.01564703,-0.8788929,0.22725074
14,0.7009,-0.015668295,0.5911281,-0.17040654,0.01774945,-0.21111633,-0.45912817,-0.015668295,-0.8769386,0.22550926
15,0.7007,-0.015569322,0.5893516,-0.16870274,0.018655261,-0.21276085,-0.458615,-0.015569322,-0.87502146,0.22383326
16,0.7004,-0.015357567,0.5876409,-0.16703013,0.019527877,-0.21431383,-0.45812204,-0.015357567,-0.87313926,0.22221912
17,0.7002,-0.015040026,0.58599305,-0.16538723,0.020369308,-0.21578169,-0.4576482,-0.015040026,-0.87129,0.22066346
18,0.7,-0.014623261,0.58440536,-0.16377264,0.021181427,-0.2171704,-0.45719233,-0.014623261,-0.86947197,0.2191631
19,0.6998,-0.014113427,0.5828752,-0.16218506,0.021965977,-0.21848558,-0.4567535,-0.014113427,-0.8676834,0.21771511
20,0.6996,-0.013516295,0.5814001,-0.16062324,0.02272458,-0.21973246,-0.45633072,-0.013516295,-0.86592287,0.21631674
21,0.6994,-0.012837278,0.57997775,-0.15908603,0.023458747,-0.22091599,-0.45592314,-0.012837278,-0.864189,0.21496542
22,0.6992,-0.012081451,0.57860595,-0.15757236,0.02416989,-0.22204074,-0.45553,-0.012081451,-0.86248064,0.21365874
23,0.6991,-0.01125357,0.5772826,-0.1560812,0.024859322,-0.22311103,-0.45515046,-0.01125357,-0.8607966,0.21239445
24,0.6989,-0.010358097,0.5760058,-0.15461159,0.025528269,-0.2241309,-0.45478386,-0.010358097,-0.8591358,0.21117045
25,0.6988,-0.009399213,0.57477367,-0.15316263,0.026177878,-0.22510411,-0.45442954,-0.009399213,-0.85749733,0.20998478
26,0.6986,-0.008380843,0.5735845,-0.15173346,0.026809216,-0.22603418,-0.45408687,-0.008380843,-0.8558804,0.20883559
27,0.6985,-0.007306662,0.57243663,-0.15032329,0.027423283,-0.22692443,-0.4537553,-0.007306662,-0.8542841,0.20772114
28,0.6984,-0.0061801197,0.57132846,-0.14893137,0.028021015,-0.22777796,-0.45343423,-0.0061801197,-0.85270774,0.20663984
29,0.6982,-0.005004449,0.5702586,-0.14755698,0.028603286,-0.22859764,-0.4531232,-0.005004449,-0.8511507,0.20559016
30,0.6981,-0.0037826817,0.5692256,-0.14619945,0.02917091,-0.2293862,-0.45282173,-0.0037826817,-0.84961224,0.20457067
31,0.698,-0.0025176625,0.56822824,-0.14485815,0.029724656,-0.23014615,-0.45252937,-0.0025176625,-0.84809184,0.20358002
32,0.6979,-0.0012120578,0.5672652,-0.14353248,0.030265242,-0.2308799,-0.45224568,-0.0012120578,-0.84658897,0.20261697
33,0.6978,0.00013162766,0.5663354,-0.14222187,0.030793339,-0.23158965,-0.45197028,0.00013162766,-0.8451031,0.20168035
34,0.6977,0.0015110527,0.5654377,-0.14092578,0.031309575,-0.23227748,-0.4517028,0.0015110527,-0.8436337,0.20076904
35,0.6975,0.0029240143,0.564571,-0.1396437,0.031814545,-0.23294535,-0.4514429,0.0029240143,-0.84218043,0.19988199
36,0.6974,0.004368454,0.5637345,-0.13837516,0.032308802,-0.23359509,-0.45119026,0.004368454,-0.8407428,0.19901823
37,0.6973,0.0058424314,0.56292707,-0.1371197,0.032792866,-0.23422839,-0.45094457,0.0058424314,-0.8393205,0.19817683
38,0.6972,0.0073441323,0.562148,-0.13587688,0.033267226,-0.23484686,-0.45070553,0.0073441323,-0.83791304,0.19735692
39,0.6971,0.008871859,0.56139636,-0.13464628,0.03373234,-0.235452,-0.4504729,0.008871859,-0.8365202,0.19655769
40,0.697,0.0104240095,0.56067145,-0.13342753,0.034188643,-0.23604521,-0.45024636,0.0104240095,-0.8351416,0.19577836
41,0.697,0.011999089,0.5599725,-0.13222025,0.03463654,-0.2366278,-0.45002574,0.011999089,-0.8337769,0.19501819
42,0.6969,0.013595691,0.5592989,-0.13102409,0.035076413,-0.237201,-0.44981077,0.013595691,-0.83242583,0.19427651
43,0.6968,0.015212499,0.55864984,-0.1298387,0.03550862,-0.23776598,-0.44960126,0.015212499,-0.8310881,0.19355267
44,0.6967,0.01684828,0.55802476,-0.12866378,0.035933506,-0.23832381,-0.449397,0.01684828,-0.82976353,0.19284604
45,0.6966,0.018501868,0.5574231,-0.127499,0.036351383,-0.2388755,-0.44919777,0.018501868,-0.8284518,0.19215606
46,0.6965,0.020172184,0.55684435,-0.12634408,0.036762554,-0.23942198,-0.44900343,0.020172184,-0.8271527,0.19148219
47,0.6964,0.021858204,0.5562879,-0.12519875,0.037167307,-0.23996416,-0.4488138,0.021858204,-0.82586604,0.19082388
48,0.6963,0.023558976,0.5557533,-0.12406274,0.037565906,-0.24050285,-0.4486287,0.023558976,-0.8245915,0.19018067
49,0.6963,0.025273602,0.55524004,-0.12293579,0.037958603,-0.24103884,-0.448448,0.025273602,-0.823329,0.18955208
