iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
47,0.2545,-0.039431203,0.90489876,-0.81933206,-0.04162459,-0.6477786,0.24066484,-0.039431203,0.47492978,0.62419826
48,0.2543,-0.039989,0.9046103,-0.8196253,-0.042188853,-0.64802456,0.24050906,-0.039989,0.47315493,0.62284327
49,0.2542,-0.040538497,0.90432614,-0.8199138,-0.042743362,-0.6482667,0.24035835,-0.040538497,0.47141165,0.6215133
50,0.254,-0.041079875,0.9040463,-0.8201976,-0.043288313,-0.648505,0.24021259,-0.041079875,0.4696994,0.62020797
51,0.2539,-0.0416133,0.9037706,-0.8204768,-0.043823887,-0.6487396,0.24007168,-0.0416133,0.46801776,0.6189268
52,0.2537,-0.042138938,0.90349907,-0.8207514,-0.04435027,-0.64897054,0.23993553,-0.042138938,0.46636617,0.6176695
53,0.2536,-0.042656954,0.9032315,-0.8210217,-0.044867646,-0.64919794,0.23980404,-0.042656954,0.46474415,0.61643565
54,0.2534,-0.043167513,0.9029679,-0.8212876,-0.04537619,-0.6494219,0.23967713,-0.043167513,0.46315125,0.61522484
55,0.2533,-0.043670766,0.9027081,-0.82154924,-0.04587608,-0.6496424,0.23955469,-0.043670766,0.46158695,0.6140367
56,0.2532,-0.04416687,0.9024521,-0.8218068,-0.04636748,-0.6498596,0.23943663,-0.04416687,0.4600508,0.6128708
57,0.2531,-0.04465598,0.9021998,-0.8220602,-0.04685057,-0.6500735,0.23932286,-0.04465598,0.45854232,0.6117269
58,0.2529,-0.04513824,0.90195113,-0.8223097,-0.047325507,-0.6502843,0.2392133,-0.04513824,0.45706105,0.61060447
59,0.2528,-0.045613796,0.90170604,-0.82255524,-0.047792457,-0.6504919,0.23910786,-0.045613796,0.45560655,0.6095032
60,0.2527,-0.04608279,0.9014644,-0.822797,-0.04825158,-0.65069646,0.23900646,-0.04608279,0.45417836,0.60842276
61,0.2526,-0.046545364,0.90122616,-0.823035,-0.048703033,-0.65089804,0.23890902,-0.046545364,0.45277604,0.6073628
62,0.2525,-0.047001652,0.9009912,-0.8232693,-0.04914697,-0.6510967,0.23881546,-0.047001652,0.45139915,0.60632294
63,0.2524,-0.04745179,0.9007595,-0.82350004,-0.04958354,-0.6512925,0.23872568,-0.04745179,0.45004725,0.6053029
64,0.2523,-0.047895905,0.900531,-0.82372725,-0.050012894,-0.6514855,0.23863962,-0.047895905,0.44871992,0.60430217
65,0.2522,-0.04833413,0.9003056,-0.823951,-0.050435174,-0.65167576,0.2385572,-0.04833413,0.44741672,0.60332054
66,0.2521,-0.048766587,0.9000833,-0.82417136,-0.050850525,-0.6518634,0.23847835,-0.048766587,0.44613725,0.6023577
67,0.2521,-0.0491934,0.89986396,-0.82438844,-0.051259086,-0.6520484,0.23840299,-0.0491934,0.44488108,0.60141325
68,0.252,-0.04961469,0.89964753,-0.82460225,-0.051660992,-0.65223086,0.23833106,-0.04961469,0.44364783,0.60048693
69,0.2519,-0.050030574,0.899434,-0.8248129,-0.05205638,-0.6524108,0.23826247,-0.050030574,0.44243708,0.5995784
70,0.2518,-0.05044117,0.8992232,-0.82502043,-0.05244538,-0.6525883,0.23819718,-0.05044117,0.44124845,0.5986873
71,0.2518,-0.050846584,0.8990152,-0.82522494,-0.05282812,-0.6527634,0.2381351,-0.050846584,0.44008154,0.59781337
