iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
48,0.6984,0.014131718,-0.018050134,0.32502475,-0.05124301,0.33384386,0.5605827,0.014131718,0.5739194,-0.36022305
49,0.6983,0.0138613265,-0.017059147,0.32310674,-0.051908497,0.33362305,0.5595672,0.0138613265,0.57378995,-0.358904
50,0.6982,0.013585881,-0.01607542,0.32120585,-0.052567154,0.3334004,0.55856425,0.013585881,0.57365876,-0.35760877
51,0.6982,0.013305879,-0.015098693,0.31932178,-0.05321924,0.33317614,0.5575735,0.013305879,0.57352597,-0.35633665
52,0.6981,0.013021796,-0.01412872,0.31745422,-0.053864993,0.33295056,0.5565947,0.013021796,0.57339174,-0.35508704
53,0.698,0.012734081,-0.013165263,0.31560287,-0.054504637,0.3327239,0.5556277,0.012734081,0.5732562,-0.35385934
54,0.6979,0.012443156,-0.012208095,0.3137674,-0.055138383,0.33249635,0.5546722,0.012443156,0.57311946,-0.35265297
55,0.6979,0.012149424,-0.011256994,0.31194758,-0.055766437,0.33226815,0.55372787,0.012149424,0.5729817,-0.35146737
56,0.6978,0.011853275,-0.010311749,0.3101431,-0.056388993,0.3320395,0.55279464,0.011853275,0.5728431,-0.350302
57,0.6977,0.011555071,-0.009372156,0.30835375,-0.05700623,0.3318106,0.5518722,0.011555071,0.5727036,-0.34915638
58,0.6977,0.011255157,-0.008438021,0.30657923,-0.05761832,0.33158162,0.55096036,0.011255157,0.57256347,-0.34803
59,0.6976,0.010953859,-0.0075091543,0.30481932,-0.05822543,0.33135274,0.5500589,0.010953859,0.57242274,-0.34692237
60,0.6975,0.010651493,-0.0065853717,0.30307376,-0.058827713,0.33112413,0.54916763,0.010651493,0.57228154,-0.34583306
61,0.6975,0.010348351,-0.0056665014,0.30134234,-0.05942532,0.33089596,0.54828644,0.010348351,0.5721399,-0.34476164
62,0.6974,0.010044715,-0.0047523733,0.29962483,-0.06001839,0.33066836,0.547415,0.010044715,0.571998,-0.34370768
63,0.6973,0.009740853,-0.0038428244,0.29792103,-0.060607053,0.3304415,0.54655325,0.009740853,0.57185584,-0.3426708
64,0.6973,0.009437013,-0.0029376973,0.29623073,-0.061191436,0.3302155,0.54570097,0.009437013,0.57171357,-0.34165058
65,0.6972,0.009133435,-0.0020368402,0.29455373,-0.061771657,0.3299905,0.54485804,0.009133435,0.57157123,-0.34064665
66,0.6971,0.008830345,-0.0011401076,0.2928898,-0.062347833,0.3297666,0.5440242,0.008830345,0.5714289,-0.33965868
67,0.6971,0.008527957,-0.00024735893,0.29123878,-0.062920064,0.32954392,0.5431994,0.008527957,0.5712866,-0.33868632
68,0.697,0.008226477,0.00064154674,0.2896005,-0.06348846,0.32932258,0.5423835,0.008226477,0.5711445,-0.33772922
69,0.697,0.007926094,0.0015267369,0.28797472,-0.06405311,0.3291027,0.54157627,0.007926094,0.5710026,-0.33678705
70,0.6969,0.007626989,0.002408338,0.2863613,-0.06461411,0.32888433,0.54077756,0.007626989,0.5708609,-0.33585954
71,0.6969,0.007329335,0.0032864762,0.28476012,-0.06517154,0.3286676,0.53998727,0.007329335,0.57071954,-0.33494636
72,0.6968,0.0070332945,0.0041612685,0.28317094,-0.06572548,0.32845262,0.53920525,0.0070332945,0.5705785,-0.33404723
73,0.6968,0.0067390217,0.0050328327,0.28159365,-0.06627602,0.32823944,0.5384314,0.0067390217,0.5704379,-0.33316186
74,0.6967,0.00644666,0.005901279,0.28002807,-0.06682323,0.32802817,0.5376656,0.00644666,0.5702977,-0.33229002
75,0.6966,0.0061563505,0.006766716,0.27847406,-0.067367174,0.32781887,0.5369077,0.0061563505,0.57015806,-0.33143142
76,0.6966,0.005868219,0.0076292483,0.27693146,-0.06790792,0.32761163,0.53615755,0.005868219,0.5700189,-0.3305858
77,0.6965,0.0055823894,0.008488977,0.27540016,-0.06844553,0.3274065,0.53541505,0.0055823894,0.5698803,-0.32975295
78,0.6965,0.005298976,0.009346002,0.27388,-0.06898007,0.32720354,0.5346801,0.005298976,0.5697423,-0.3289326
79,0.6964,0.005018086,0.010200418,0.27237085,-0.069511585,0.32700282,0.53395265,0.005018086,0.56960493,-0.32812458
80,0.6964,0.004739824,0.011052318,0.27087253,-0.07004014,0.3268044,0.5332325,0.004739824,0.5694682,-0.32732862
81,0.6963,0.004464286,0.01190179,0.26938498,-0.070565775,0.32660833,0.5325196,0.004464286,0.5693322,-0.32654452
82,0.6963,0.00419156,0.012748927,0.26790804,-0.071088545,0.32641467,0.53181374,0.00419156,0.5691969,-0.32577205
83,0.6963,0.003921732,0.013593806,0.26644158,-0.07160849,0.3262235,0.53111494,0.003921732,0.5690623,-0.32501104
84,0.6962,0.0036548807,0.014436513,0.2649855,-0.07212566,0.3260348,0.53042305,0.0036548807,0.5689285,-0.3242613
85,0.6962,0.003391088,0.015277131,0.26353967,-0.07264009,0.3258487,0.529738,0.003391088,0.56879544,-0.32352263
86,0.6961,0.003130415,0.016115734,0.26210397,-0.07315182,0.3256652,0.5290597,0.003130415,0.5686632,-0.32279482
87,0.6961,0.00287293,0.0169524,0.2606783,-0.07366089,0.32548434,0.5283881,0.00287293,0.56853175,-0.32207775
88,0.696,0.0026186956,0.017787201,0.25926253,-0.074167326,0.32530615,0.527723,0.0026186956,0.56840116,-0.3213712
89,0.696,0.002367769,0.018620212,0.25785658,-0.074671164,0.3251307,0.5270644,0.002367769,0.5682714,-0.32067502
90,0.6959,0.0021202029,0.0194515,0.2564603,-0.07517244,0.324958,0.5264121,0.0021202029,0.5681425,-0.31998906
91,0.6959,0.0018760485,0.020281136,0.25507367,-0.07567118,0.3247881,0.5257662,0.0018760485,0.56801444,-0.31931314
92,0.6959,0.0016353516,0.021109186,0.2536965,-0.07616741,0.32462102,0.5251265,0.0016353516,0.5678873,-0.31864712
93,0.6958,0.0013981527,0.021935713,0.25232875,-0.07666116,0.32445678,0.524493,0.0013981527,0.56776106,-0.31799084
94,0.6958,0.0011644987,0.022760782,0.2509703,-0.07715246,0.32429543,0.5238655,0.0011644987,0.5676357,-0.3173442
95,0.6957,0.0009344211,0.023584457,0.24962106,-0.07764133,0.324137,0.5232441,0.0009344211,0.56751126,-0.316707
96,0.6957,0.000707954,0.024406796,0.24828094,-0.07812779,0.3239815,0.52262855,0.000707954,0.56738776,-0.3160791
97,0.6957,0.00048512983,0.025227858,0.24694985,-0.07861186,0.32382897,0.52201885,0.00048512983,0.56726515,-0.3154604
98,0.6956,0.00026597548,0.026047701,0.2456277,-0.07909356,0.32367942,0.52141494,0.00026597548,0.5671435,-0.31485078
99,0.6956,5.052294e-05,0.026866384,0.2443144,-0.079572916,0.32353288,0.52081674,5.052294e-05,0.5670228,-0.31425008
100,0.6955,-0.00016120916,0.02768396,0.24300987,-0.08004994,0.32338938,0.5202242,-0.00016120916,0.56690305,-0.31365818
101,0.6955,-0.00036919845,0.028500484,0.24171402,-0.08052465,0.32324892,0.5196372,-0.00036919845,0.56678426,-0.31307495
102,0.6955,-0.0005734241,0.02931601,0.24042676,-0.08099707,0.32311153,0.5190558,-0.0005734241,0.5666664,-0.3125003
103,0.6954,-0.0007738667,0.03013059,0.23914802,-0.08146721,0.32297724,0.51847976,-0.0007738667,0.56654954,-0.31193408
104,0.6954,-0.0009705125,0.030944273,0.23787773,-0.081935085,0.32284606,0.51790917,-0.0009705125,0.5664336,-0.3113762
105,0.6954,-0.0011633462,0.031757113,0.23661579,-0.08240071,0.322718,0.5173439,-0.0011633462,0.56631863,-0.31082657
106,0.6953,-0.0013523559,0.032569155,0.23536214,-0.08286409,0.3225931,0.5167839,-0.0013523559,0.5662046,-0.31028503
107,0.6953,-0.0015375282,0.03338045,0.2341167,-0.08332525,0.32247135,0.5162291,-0.0015375282,0.56609154,-0.30975148
108,0.6953,-0.0017188537,0.034191046,0.2328794,-0.0837842,0.32235277,0.5156794,-0.0017188537,0.5659795,-0.30922586
109,0.6952,-0.0018963291,0.035000987,0.23165016,-0.08424094,0.32223737,0.5151349,-0.0018963291,0.5658684,-0.30870804
110,0.6952,-0.0020699436,0.03581032,0.2304289,-0.0846955,0.3221252,0.5145953,-0.0020699436,0.5657582,-0.30819792
111,0.6952,-0.002239694,0.036619093,0.22921558,-0.08514788,0.32201624,0.5140608,-0.002239694,0.56564903,-0.3076954
112,0.6951,-0.002405575,0.037427343,0.2280101,-0.08559809,0.3219105,0.5135312,-0.002405575,0.5655408,-0.30720037
