iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
44,0.6928,0.00019915703,-0.09488476,-0.8636699,-0.018996676,0.49423122,0.45695254,0.00019915703,-0.71630377,0.8431134
45,0.6928,0.00022161141,-0.095153004,-0.86380744,-0.019445164,0.4942653,0.45695636,0.00022161141,-0.71626437,0.8430948
46,0.6928,0.00024452456,-0.09542093,-0.8639455,-0.019894011,0.4942996,0.45696053,0.00024452456,-0.71622604,0.84307575
47,0.6928,0.00026788475,-0.09568854,-0.864084,-0.020343205,0.49433416,0.45696506,0.00026788475,-0.7161888,0.8430562
48,0.6928,0.00029167987,-0.095955834,-0.86422294,-0.02079273,0.49436897,0.45696995,0.00029167987,-0.71615255,0.8430362
49,0.6928,0.0003158976,-0.096222825,-0.86436236,-0.021242574,0.49440402,0.45697522,0.0003158976,-0.7161173,0.84301573
50,0.6928,0.00034052736,-0.09648953,-0.8645022,-0.021692725,0.4944393,0.45698088,0.00034052736,-0.716083,0.8429949
51,0.6928,0.0003655587,-0.09675594,-0.86464244,-0.02214317,0.49447483,0.45698693,0.0003655587,-0.7160496,0.84297377
52,0.6928,0.00039098083,-0.09702206,-0.86478317,-0.0225939,0.49451056,0.45699337,0.00039098083,-0.7160171,0.84295225
53,0.6928,0.00041678405,-0.0972879,-0.8649243,-0.023044903,0.4945465,0.4570002,0.00041678405,-0.7159855,0.84293044
54,0.6928,0.00044295943,-0.09755347,-0.8650659,-0.023496168,0.49458268,0.45700744,0.00044295943,-0.71595466,0.8429083
55,0.6927,0.0004694969,-0.09781877,-0.86520785,-0.023947684,0.49461907,0.4570151,0.0004694969,-0.7159246,0.842886
56,0.6927,0.0004963885,-0.09808381,-0.86535025,-0.024399443,0.49465567,0.45702317,0.0004963885,-0.71589535,0.8428634
57,0.6927,0.0005236263,-0.09834859,-0.865493,-0.024851436,0.49469244,0.45703167,0.0005236263,-0.7158668,0.84284055
58,0.6927,0.00055120146,-0.09861311,-0.86563617,-0.025303653,0.49472943,0.45704058,0.00055120146,-0.71583897,0.84281754
59,0.6927,0.0005791065,-0.09887739,-0.86577976,-0.025756087,0.4947666,0.45704994,0.0005791065,-0.71581185,0.84279436
60,0.6927,0.0006073343,-0.09914143,-0.8659237,-0.026208729,0.49480397,0.45705974,0.0006073343,-0.7157854,0.84277105
61,0.6927,0.00063587877,-0.09940522,-0.86606807,-0.026661573,0.49484152,0.45706996,0.00063587877,-0.7157596,0.84274757
62,0.6927,0.0006647313,-0.09966878,-0.8662128,-0.027114611,0.49487925,0.45708063,0.0006647313,-0.71573436,0.84272397
63,0.6927,0.0006938871,-0.099932104,-0.8663579,-0.027567836,0.49491715,0.45709175,0.0006938871,-0.71570975,0.8427003
64,0.6927,0.00072333927,-0.1001952,-0.8665034,-0.028021239,0.49495524,0.4571033,0.00072333927,-0.7156857,0.8426765
65,0.6927,0.0007530814,-0.10045807,-0.86664927,-0.028474815,0.4949935,0.45711535,0.0007530814,-0.71566224,0.8426527
66,0.6927,0.0007831076,-0.10072072,-0.86679554,-0.02892856,0.49503195,0.45712784,0.0007831076,-0.71563935,0.8426288
67,0.6927,0.00081341265,-0.10098314,-0.86694217,-0.029382464,0.49507055,0.4571408,0.00081341265,-0.71561694,0.8426049
68,0.6927,0.0008439917,-0.10124535,-0.86708915,-0.029836526,0.49510932,0.4571542,0.0008439917,-0.71559507,0.8425809
69,0.6927,0.00087483955,-0.10150735,-0.8672365,-0.030290738,0.49514824,0.4571681,0.00087483955,-0.71557367,0.84255695
70,0.6927,0.00090595055,-0.10176914,-0.8673842,-0.030745095,0.49518734,0.45718247,0.00090595055,-0.71555275,0.842533
71,0.6927,0.00093732105,-0.102030724,-0.86753225,-0.031199593,0.4952266,0.45719728,0.00093732105,-0.7155323,0.84250903
72,0.6927,0.0009689454,-0.102292106,-0.86768067,-0.031654228,0.495266,0.45721257,0.0009689454,-0.71551234,0.8424851
73,0.6927,0.0010008197,-0.102553286,-0.86782944,-0.032108992,0.49530557,0.45722833,0.0010008197,-0.7154928,0.84246117
74,0.6927,0.0010329407,-0.102814265,-0.8679786,-0.032563884,0.4953453,0.4572446,0.0010329407,-0.71547365,0.8424373
75,0.6927,0.001065303,-0.10307505,-0.86812806,-0.0330189,0.49538517,0.45726135,0.001065303,-0.71545494,0.84241354
76,0.6927,0.0010979039,-0.10333564,-0.8682779,-0.033474036,0.4954252,0.45727858,0.0010979039,-0.71543664,0.8423898
77,0.6927,0.0011307392,-0.10359604,-0.8684281,-0.03392929,0.49546537,0.45729628,0.0011307392,-0.71541876,0.84236616
78,0.6927,0.0011638046,-0.10385624,-0.8685787,-0.03438465,0.49550566,0.4573145,0.0011638046,-0.71540123,0.84234256
79,0.6927,0.0011970982,-0.10411626,-0.86872953,-0.034840122,0.4955461,0.45733318,0.0011970982,-0.71538407,0.8423191
80,0.6927,0.0012306165,-0.10437609,-0.86888075,-0.0352957,0.4955867,0.45735237,0.0012306165,-0.71536726,0.84229565
81,0.6927,0.0012643558,-0.104635745,-0.8690323,-0.03575138,0.49562743,0.45737204,0.0012643558,-0.7153508,0.84227234
82,0.6927,0.0012983128,-0.10489522,-0.86918426,-0.03620716,0.4956683,0.45739222,0.0012983128,-0.7153347,0.84224916
83,0.6927,0.0013324849,-0.105154514,-0.8693365,-0.036663037,0.4957093,0.4574129,0.0013324849,-0.7153189,0.8422261
84,0.6927,0.0013668699,-0.10541363,-0.8694891,-0.03711901,0.49575043,0.45743406,0.0013668699,-0.7153034,0.84220314
85,0.6927,0.0014014652,-0.10567257,-0.869642,-0.037575074,0.4957917,0.45745572,0.0014014652,-0.7152883,0.8421804
86,0.6927,0.0014362666,-0.105931334,-0.86979526,-0.038031224,0.4958331,0.4574779,0.0014362666,-0.71527344,0.8421577
87,0.6926,0.0014712726,-0.10618993,-0.86994886,-0.038487464,0.49587464,0.45750058,0.0014712726,-0.7152589,0.84213525
88,0.6926,0.0015064821,-0.10644835,-0.8701028,-0.03894379,0.4959163,0.45752376,0.0015064821,-0.71524465,0.8421129
89,0.6926,0.0015418913,-0.106706604,-0.8702571,-0.039400198,0.4959581,0.45754746,0.0015418913,-0.71523064,0.8420907
90,0.6926,0.0015774989,-0.10696469,-0.8704117,-0.039856687,0.49600002,0.45757163,0.0015774989,-0.71521693,0.84206873
91,0.6926,0.001613302,-0.10722261,-0.8705666,-0.040313255,0.49604207,0.4575963,0.001613302,-0.7152035,0.8420469
92,0.6926,0.0016492998,-0.10748036,-0.8707219,-0.0407699,0.49608424,0.4576215,0.0016492998,-0.71519035,0.8420253
93,0.6926,0.0016854893,-0.10773795,-0.87087744,-0.04122662,0.49612656,0.45764723,0.0016854893,-0.7151774,0.8420038
