iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
46,0.2512,0.0047811866,-0.6657737,0.48112664,0.021824183,0.51891416,-0.23478858,0.0047811866,-0.053409923,-0.8512191
47,0.2511,0.004933534,-0.6657285,0.48089254,0.022405066,0.51898026,-0.23485997,0.004933534,-0.054043937,-0.85073036
48,0.2511,0.005087915,-0.6656827,0.48066267,0.022988733,0.5190474,-0.2349314,0.005087915,-0.054676823,-0.8502437
49,0.2511,0.0052443263,-0.6656361,0.480437,0.023575114,0.51911545,-0.23500292,0.0052443263,-0.055308588,-0.8497591
50,0.2511,0.005402766,-0.66558886,0.4802155,0.024164135,0.51918447,-0.23507461,0.005402766,-0.05593925,-0.84927666
51,0.2511,0.0055632317,-0.6655409,0.4799981,0.02475573,0.51925445,-0.23514654,0.0055632317,-0.05656882,-0.8487963
52,0.2511,0.0057257204,-0.66549224,0.47978482,0.025349833,0.51932544,-0.23521876,0.0057257204,-0.057197314,-0.848318
53,0.251,0.00589023,-0.6654429,0.4795756,0.025946379,0.5193974,-0.23529136,0.00589023,-0.057824746,-0.84784174
54,0.251,0.0060567586,-0.6653928,0.47937042,0.026545305,0.5194703,-0.23536438,0.0060567586,-0.05845113,-0.8473676
55,0.251,0.006225303,-0.6653421,0.47916922,0.027146552,0.5195441,-0.23543787,0.006225303,-0.05907648,-0.84689546
56,0.251,0.00639586,-0.66529065,0.47897202,0.02775006,0.519619,-0.2355119,0.00639586,-0.05970081,-0.84642535
57,0.251,0.006568428,-0.6652385,0.47877875,0.028355772,0.5196948,-0.23558652,0.006568428,-0.060324132,-0.8459573
58,0.251,0.0067430045,-0.6651857,0.47858942,0.028963633,0.5197716,-0.23566179,0.0067430045,-0.060946465,-0.84549123
59,0.251,0.006919587,-0.66513216,0.47840396,0.02957359,0.51984936,-0.23573776,0.006919587,-0.061567817,-0.8450272
60,0.2509,0.007098173,-0.665078,0.47822237,0.030185586,0.5199281,-0.23581445,0.007098173,-0.062188204,-0.84456515
61,0.2509,0.007278759,-0.6650231,0.47804463,0.030799575,0.52000785,-0.23589195,0.007278759,-0.06280764,-0.84410506
62,0.2509,0.007461344,-0.6649675,0.4778707,0.031415507,0.52008855,-0.23597029,0.007461344,-0.06342615,-0.843647
63,0.2509,0.0076459246,-0.6649112,0.47770056,0.032033335,0.5201702,-0.2360495,0.0076459246,-0.06404374,-0.8431909
64,0.2509,0.007832498,-0.6648542,0.4775342,0.03265301,0.5202529,-0.23612964,0.007832498,-0.06466042,-0.8427368
65,0.2509,0.008021063,-0.6647966,0.4773716,0.033274494,0.5203365,-0.23621076,0.008021063,-0.06527621,-0.8422846
66,0.2509,0.008211617,-0.66473824,0.47721273,0.033897735,0.52042115,-0.2362929,0.008211617,-0.065891124,-0.84183437
67,0.2508,0.008404157,-0.6646792,0.47705755,0.034522697,0.52050674,-0.23637608,0.008404157,-0.06650518,-0.8413861
68,0.2508,0.008598681,-0.6646195,0.47690603,0.035149336,0.52059335,-0.23646034,0.008598681,-0.067118384,-0.8409397
69,0.2508,0.008795186,-0.6645591,0.47675818,0.035777614,0.5206809,-0.23654574,0.008795186,-0.067730755,-0.8404952
70,0.2508,0.00899367,-0.66449803,0.47661397,0.036407493,0.5207695,-0.2366323,0.00899367,-0.068342306,-0.84005266
71,0.2508,0.009194132,-0.6644363,0.4764734,0.037038933,0.52085906,-0.23672007,0.009194132,-0.06895306,-0.839612
72,0.2508,0.009396568,-0.6643739,0.47633642,0.0376719,0.5209496,-0.23680907,0.009396568,-0.069563024,-0.83917326
73,0.2508,0.009600976,-0.66431075,0.47620302,0.03830636,0.52104115,-0.23689935,0.009600976,-0.07017221,-0.8387364
74,0.2507,0.009807354,-0.664247,0.47607318,0.038942274,0.5211337,-0.23699093,0.009807354,-0.07078064,-0.8383014
75,0.2507,0.0100157,-0.6641825,0.47594687,0.03957961,0.52122724,-0.23708384,0.0100157,-0.07138833,-0.83786833
76,0.2507,0.010226011,-0.66411734,0.47582412,0.040218342,0.5213218,-0.23717812,0.010226011,-0.07199529,-0.8374371
77,0.2507,0.010438286,-0.66405153,0.47570488,0.040858433,0.5214173,-0.23727378,0.010438286,-0.072601534,-0.8370077
78,0.2507,0.010652522,-0.6639851,0.47558913,0.041499853,0.5215139,-0.23737088,0.010652522,-0.07320708,-0.83658016
79,0.2507,0.010868717,-0.6639179,0.47547686,0.042142577,0.5216114,-0.23746942,0.010868717,-0.07381194,-0.83615446
80,0.2507,0.011086869,-0.66385007,0.47536805,0.042786576,0.5217099,-0.23756945,0.011086869,-0.07441613,-0.8357306
81,0.2506,0.011306976,-0.6637816,0.47526267,0.04343182,0.52180946,-0.23767097,0.011306976,-0.075019665,-0.8353086
82,0.2506,0.011529036,-0.66371244,0.47516075,0.04407828,0.52191,-0.23777403,0.011529036,-0.07562256,-0.8348884
83,0.2506,0.011753047,-0.66364264,0.47506222,0.044725936,0.5220116,-0.23787865,0.011753047,-0.076224834,-0.83447003
84,0.2506,0.011979007,-0.6635722,0.4749671,0.04537476,0.52211416,-0.23798485,0.011979007,-0.0768265,-0.83405346
85,0.2506,0.012206915,-0.663501,0.47487536,0.04602473,0.52221775,-0.23809265,0.012206915,-0.077427566,-0.83363867
86,0.2506,0.012436767,-0.6634292,0.474787,0.04667582,0.52232236,-0.23820207,0.012436767,-0.07802805,-0.8332257
87,0.2506,0.012668563,-0.6633567,0.474702,0.047328006,0.522428,-0.23831314,0.012668563,-0.078627974,-0.8328146
88,0.2505,0.012902301,-0.6632836,0.47462034,0.04798127,0.5225346,-0.23842588,0.012902301,-0.07922734,-0.83240515
89,0.2505,0.0131379785,-0.6632098,0.47454202,0.048635587,0.52264225,-0.2385403,0.0131379785,-0.079826176,-0.8319975
90,0.2505,0.013375593,-0.66313535,0.47446704,0.04929094,0.522751,-0.23865645,0.013375593,-0.08042449,-0.83159167
91,0.2505,0.013615144,-0.66306025,0.47439536,0.049947307,0.5228607,-0.23877431,0.013615144,-0.08102229,-0.83118755
92,0.2505,0.013856631,-0.66298455,0.47432697,0.050604668,0.52297145,-0.23889393,0.013856631,-0.08161961,-0.8307852
93,0.2505,0.01410005,-0.6629082,0.47426188,0.051263005,0.5230832,-0.23901531,0.01410005,-0.08221645,-0.8303846
94,0.2505,0.0143454,-0.6628312,0.47420007,0.0519223,0.52319604,-0.23913848,0.0143454,-0.08281283,-0.8299858
95,0.2505,0.01459268,-0.6627535,0.4741415,0.052582532,0.5233099,-0.23926346,0.01459268,-0.083408765,-0.8295887
96,0.2504,0.014841888,-0.6626752,0.4740862,0.05324369,0.52342474,-0.23939025,0.014841888,-0.08400427,-0.82919335
97,0.2504,0.015093023,-0.6625963,0.47403413,0.053905755,0.5235407,-0.23951888,0.015093023,-0.08459935,-0.8287997
98,0.2504,0.015346083,-0.6625167,0.4739853,0.05456871,0.5236576,-0.23964937,0.015346083,-0.08519404,-0.82840776
99,0.2504,0.015601067,-0.6624365,0.47393972,0.05523254,0.52377564,-0.23978172,0.015601067,-0.08578833,-0.82801753
100,0.2504,0.015857974,-0.6623556,0.47389734,0.055897232,0.5238947,-0.23991595,0.015857974,-0.086382255,-0.827629
101,0.2504,0.016116802,-0.6622741,0.47385815,0.056562766,0.52401483,-0.24005209,0.016116802,-0.08697582,-0.8272422
102,0.2504,0.016377548,-0.662192,0.47382215,0.057229135,0.524136,-0.24019013,0.016377548,-0.08756904,-0.8268571
103,0.2503,0.016640212,-0.66210926,0.47378933,0.05789632,0.52425826,-0.2403301,0.016640212,-0.08816194,-0.82647365
104,0.2503,0.016904796,-0.66202587,0.4737597,0.058564313,0.5243815,-0.240472,0.016904796,-0.08875452,-0.82609195
105,0.2503,0.017171293,-0.6619419,0.47373325,0.059233095,0.52450585,-0.24061586,0.017171293,-0.0893468,-0.8257119
106,0.2503,0.017439706,-0.66185725,0.47370994,0.05990266,0.52463126,-0.24076168,0.017439706,-0.089938805,-0.82533354
107,0.2503,0.017710032,-0.661772,0.47368976,0.060572993,0.52475774,-0.24090949,0.017710032,-0.09053053,-0.82495683
108,0.2503,0.01798227,-0.6616861,0.47367275,0.06124408,0.5248853,-0.24105929,0.01798227,-0.091122,-0.8245818
109,0.2503,0.01825642,-0.66159964,0.47365886,0.061915915,0.5250139,-0.24121109,0.01825642,-0.091713235,-0.82420844
110,0.2502,0.018532481,-0.66151255,0.4736481,0.06258848,0.5251436,-0.2413649,0.018532481,-0.092304245,-0.8238367
111,0.2502,0.018810451,-0.6614249,0.47364047,0.06326178,0.5252744,-0.24152073,0.018810451,-0.092895046,-0.8234666
112,0.2502,0.019090328,-0.66133654,0.47363594,0.06393579,0.52540624,-0.2416786,0.019090328,-0.093485646,-0.8230982
113,0.2502,0.019372113,-0.6612476,0.4736345,0.0646105,0.52553916,-0.24183851,0.019372113,-0.09407607,-0.8227314
114,0.2502,0.019655805,-0.6611581,0.47363618,0.06528591,0.5256732,-0.24200049,0.019655805,-0.09466632,-0.82236624
115,0.2502,0.019941403,-0.66106796,0.47364095,0.06596201,0.52580833,-0.24216452,0.019941403,-0.09525642,-0.8220027
116,0.2502,0.020228904,-0.66097724,0.4736488,0.06663879,0.52594453,-0.24233064,0.020228904,-0.095846385,-0.8216408
