iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
0,0.6947,0.0,0.4817481,-0.42186666,0.0,-0.3436067,0.019028664,0.0,-0.9262736,0.9865751
1,0.6947,4.3391436e-05,0.48150453,-0.42146295,0.00018197224,-0.34352082,0.019122863,4.3391436e-05,-0.92564577,0.98682386
2,0.6947,9.4496274e-05,0.48126522,-0.42106357,0.00035554246,-0.34343112,0.019212537,9.4496274e-05,-0.92503625,0.98705715
3,0.6947,0.00015298315,0.48102996,-0.42066833,0.0005210504,-0.34333774,0.019297862,0.00015298315,-0.9244444,0.98727566
4,0.6947,0.00021853541,0.48079863,-0.4202771,0.0006788183,-0.3432409,0.019379014,0.00021853541,-0.9238694,0.9874799
5,0.6947,0.00029085056,0.48057106,-0.4198897,0.0008291591,-0.3431407,0.019456157,0.00029085056,-0.9233106,0.98767054
6,0.6947,0.00036963896,0.4803471,-0.41950598,0.0009723701,-0.34303734,0.01952945,0.00036963896,-0.9227674,0.9878481
7,0.6947,0.00045462197,0.48012662,-0.41912583,0.0011087395,-0.34293094,0.019599047,0.00045462197,-0.9222391,0.98801315
8,0.6946,0.0005455338,0.47990948,-0.4187491,0.0012385447,-0.34282166,0.019665092,0.0005455338,-0.9217252,0.98816615
9,0.6946,0.00064211903,0.47969556,-0.41837567,0.0013620496,-0.3427096,0.019727727,0.00064211903,-0.9212251,0.9883076
10,0.6946,0.0007441341,0.4794847,-0.4180054,0.0014795101,-0.34259492,0.019787088,0.0007441341,-0.92073816,0.988438
11,0.6946,0.000851344,0.47927684,-0.41763818,0.0015911703,-0.34247774,0.019843306,0.000851344,-0.92026395,0.9885578
12,0.6946,0.0009635259,0.47907183,-0.4172739,0.001697266,-0.34235817,0.019896505,0.0009635259,-0.9198019,0.9886674
13,0.6946,0.0010804654,0.47886956,-0.41691247,0.0017980209,-0.34223634,0.019946804,0.0010804654,-0.9193516,0.98876727
14,0.6946,0.0012019568,0.4786699,-0.41655374,0.0018936543,-0.34211233,0.019994318,0.0012019568,-0.9189125,0.98885775
15,0.6946,0.0013278024,0.47847283,-0.41619763,0.0019843741,-0.34198627,0.02003916,0.0013278024,-0.91848415,0.9889393
16,0.6946,0.0014578151,0.4782782,-0.41584405,0.0020703778,-0.34185824,0.020081434,0.0014578151,-0.9180662,0.9890122
17,0.6946,0.0015918117,0.4780859,-0.4154929,0.0021518604,-0.34172833,0.020121243,0.0015918117,-0.9176582,0.98907685
18,0.6946,0.0017296204,0.4778959,-0.4151441,0.0022290042,-0.34159666,0.020158684,0.0017296204,-0.91725975,0.9891336
19,0.6946,0.0018710752,0.47770804,-0.41479754,0.002301987,-0.3414633,0.02019385,0.0018710752,-0.9168705,0.9891828
20,0.6946,0.0020160165,0.47752228,-0.41445318,0.0023709794,-0.34132832,0.020226836,0.0020160165,-0.91649,0.9892247
21,0.6946,0.002164292,0.47733855,-0.4141109,0.0024361426,-0.34119183,0.020257724,0.002164292,-0.916118,0.9892596
22,0.6946,0.002315756,0.4771568,-0.41377065,0.0024976355,-0.34105387,0.0202866,0.002315756,-0.91575414,0.98928785
23,0.6946,0.0024702693,0.4769769,-0.41343233,0.0025556057,-0.34091455,0.02031354,0.0024702693,-0.91539806,0.9893097
24,0.6945,0.002627696,0.4767988,-0.4130959,0.0026102003,-0.3407739,0.020338625,0.002627696,-0.9150495,0.98932546
25,0.6945,0.002787909,0.47662246,-0.41276124,0.0026615553,-0.34063205,0.020361925,0.002787909,-0.91470814,0.9893353
26,0.6945,0.0029507836,0.4764478,-0.41242835,0.0027098048,-0.340489,0.020383513,0.0029507836,-0.9143737,0.98933953
27,0.6945,0.0031162032,0.47627476,-0.41209713,0.002755076,-0.34034485,0.020403454,0.0031162032,-0.9140459,0.98933834
28,0.6945,0.0032840543,0.47610328,-0.41176754,0.0027974916,-0.34019962,0.020421816,0.0032840543,-0.9137245,0.98933196
29,0.6945,0.0034542289,0.4759333,-0.4114395,0.0028371694,-0.3400534,0.020438662,0.0034542289,-0.91340923,0.98932064
30,0.6945,0.003626622,0.47576478,-0.411113,0.0028742224,-0.33990625,0.02045405,0.003626622,-0.9130998,0.9893046
31,0.6945,0.0038011344,0.47559765,-0.4107879,0.0029087581,-0.33975822,0.020468038,0.0038011344,-0.91279614,0.989284
32,0.6945,0.0039776703,0.4754319,-0.41046426,0.0029408808,-0.33960932,0.02048068,0.0039776703,-0.9124979,0.989259
33,0.6945,0.004156139,0.47526744,-0.41014194,0.0029706906,-0.33945966,0.02049203,0.004156139,-0.91220486,0.98922986
34,0.6945,0.004336453,0.47510424,-0.40982094,0.002998282,-0.33930925,0.020502139,0.004336453,-0.91191685,0.9891967
