iteration,cost,l1_n1_w0,l1_n1_w1,l1_n1_w2,l1_n2_w0,l1_n2_w1,l1_n2_w2,l2_n1_w0,l2_n1_w1,l2_n1_w2
46,0.697,-0.03826661,0.3672036,-0.84484035,-0.04616588,0.7082106,-0.2712387,-0.03826661,-0.61688846,-0.6522097
47,0.6965,-0.03850269,0.3644275,-0.84554446,-0.04635457,0.7059486,-0.27640304,-0.03850269,-0.6152253,-0.6527058
48,0.6961,-0.038729277,0.36168092,-0.8462667,-0.046528477,0.7037155,-0.28155628,-0.038729277,-0.61361,-0.65322
49,0.6956,-0.038946792,0.35896328,-0.84700716,-0.046688046,0.7015108,-0.2866987,-0.038946792,-0.6120413,-0.6537529
50,0.6952,-0.03915564,0.356274,-0.84776586,-0.046833687,0.69933397,-0.2918306,-0.03915564,-0.6105178,-0.6543051
51,0.6947,-0.039356194,0.3536126,-0.8485429,-0.046965778,0.69718456,-0.29695225,-0.039356194,-0.6090383,-0.65487707
52,0.6943,-0.039548807,0.35097855,-0.8493384,-0.047084663,0.69506216,-0.3020639,-0.039548807,-0.6076016,-0.6554693
53,0.6938,-0.039733812,0.34837136,-0.8501523,-0.047190655,0.69296634,-0.3071658,-0.039733812,-0.60620654,-0.6560823
54,0.6934,-0.03991152,0.34579057,-0.8509847,-0.04728404,0.69089663,-0.31225818,-0.03991152,-0.6048521,-0.6567164
55,0.693,-0.040082224,0.34323573,-0.85183555,-0.047365077,0.68885267,-0.31734127,-0.040082224,-0.60353714,-0.6573721
56,0.6925,-0.040246196,0.34070644,-0.85270494,-0.047434002,0.68683404,-0.32241526,-0.040246196,-0.60226077,-0.65804976
57,0.6921,-0.0404037,0.33820224,-0.8535929,-0.047491033,0.6848403,-0.32748038,-0.0404037,-0.60102195,-0.65874976
58,0.6917,-0.040554978,0.33572274,-0.85449934,-0.04753636,0.68287116,-0.33253682,-0.040554978,-0.5998198,-0.6594724
59,0.6912,-0.040700253,0.33326757,-0.8554243,-0.04757015,0.68092626,-0.33758476,-0.040700253,-0.5986534,-0.66021806
60,0.6908,-0.040839747,0.33083633,-0.85636777,-0.047592554,0.6790052,-0.34262443,-0.040839747,-0.5975219,-0.660987
61,0.6904,-0.040973656,0.3284287,-0.8573297,-0.047603704,0.6771077,-0.34765595,-0.040973656,-0.5964245,-0.6617795
62,0.69,-0.041102167,0.3260443,-0.85831016,-0.047603715,0.6752334,-0.35267952,-0.041102167,-0.5953605,-0.66259587
63,0.6896,-0.041225456,0.32368279,-0.859309,-0.047592685,0.67338204,-0.3576953,-0.041225456,-0.59432906,-0.6634363
64,0.6892,-0.04134368,0.32134387,-0.8603263,-0.047570698,0.67155325,-0.36270347,-0.04134368,-0.5933294,-0.66430104
65,0.6887,-0.04145701,0.31902725,-0.8613619,-0.047537822,0.66974676,-0.36770418,-0.04145701,-0.592361,-0.66519034
66,0.6883,-0.041565575,0.3167326,-0.8624159,-0.047494113,0.66796225,-0.37269756,-0.041565575,-0.591423,-0.6661044
67,0.6879,-0.041669514,0.3144596,-0.86348814,-0.047439616,0.6661995,-0.37768376,-0.041669514,-0.59051484,-0.66704327
68,0.6875,-0.041768953,0.312208,-0.8645786,-0.047374368,0.6644582,-0.38266292,-0.041768953,-0.5896359,-0.66800725
69,0.6871,-0.04186401,0.30997753,-0.86568725,-0.047298383,0.6627381,-0.38763517,-0.04186401,-0.5887856,-0.66899645
70,0.6867,-0.041954793,0.30776793,-0.866814,-0.047211673,0.66103894,-0.39260066,-0.041954793,-0.58796334,-0.67001104
71,0.6863,-0.042041406,0.30557895,-0.86795884,-0.047114242,0.65936047,-0.3975595,-0.042041406,-0.5871686,-0.6710511
72,0.6859,-0.04212394,0.30341032,-0.86912173,-0.047006086,0.65770245,-0.4025118,-0.04212394,-0.58640075,-0.67211676
73,0.6855,-0.042202484,0.3012618,-0.87030256,-0.04688719,0.6560647,-0.4074577,-0.042202484,-0.5856593,-0.6732081
74,0.6851,-0.042277124,0.2991332,-0.87150127,-0.04675753,0.6544469,-0.41239733,-0.042277124,-0.58494383,-0.6743253
75,0.6847,-0.042347938,0.29702428,-0.8727178,-0.046617083,0.6528489,-0.41733074,-0.042347938,-0.5842538,-0.6754684
76,0.6843,-0.04241499,0.29493478,-0.87395203,-0.046465807,0.65127045,-0.4222581,-0.04241499,-0.5835888,-0.6766374
77,0.6839,-0.04247835,0.29286453,-0.87520397,-0.046303663,0.6497114,-0.42717952,-0.04247835,-0.5829483,-0.6778324
78,0.6835,-0.04253808,0.2908133,-0.8764735,-0.04613061,0.6481714,-0.43209505,-0.04253808,-0.58233196,-0.67905354
79,0.6831,-0.04259424,0.2887809,-0.8777606,-0.04594659,0.64665043,-0.43700483,-0.04259424,-0.5817393,-0.6803008
80,0.6827,-0.04264688,0.28676713,-0.87906516,-0.045751557,0.6451482,-0.44190896,-0.04264688,-0.5811699,-0.6815741
81,0.6823,-0.04269605,0.2847718,-0.8803871,-0.045545448,0.64366454,-0.4468075,-0.04269605,-0.58062345,-0.68287367
82,0.6819,-0.042741798,0.28279474,-0.8817264,-0.045328204,0.6421993,-0.4517006,-0.042741798,-0.58009946,-0.6841994
83,0.6815,-0.042784162,0.28083578,-0.8830829,-0.045099758,0.6407522,-0.4565883,-0.042784162,-0.57959765,-0.68555135
84,0.6812,-0.04282318,0.27889472,-0.88445663,-0.044860035,0.6393232,-0.46147072,-0.04282318,-0.57911766,-0.68692946
85,0.6808,-0.042858895,0.2769714,-0.88584745,-0.044608977,0.63791203,-0.46634793,-0.042858895,-0.5786591,-0.6883338
86,0.6804,-0.042891342,0.27506563,-0.88725525,-0.044346504,0.6365186,-0.47122005,-0.042891342,-0.57822174,-0.6897643
87,0.68,-0.04292055,0.27317727,-0.88868004,-0.044072546,0.6351427,-0.47608712,-0.04292055,-0.57780516,-0.69122106
88,0.6796,-0.042946544,0.27130616,-0.8901217,-0.04378702,0.6337841,-0.48094925,-0.042946544,-0.5774091,-0.6927039
89,0.6792,-0.04296936,0.26945215,-0.89158016,-0.043489862,0.63244283,-0.48580652,-0.04296936,-0.5770332,-0.6942129
90,0.6788,-0.042989023,0.26761508,-0.8930553,-0.043180984,0.6311186,-0.490659,-0.042989023,-0.57667726,-0.69574803
91,0.6784,-0.043005556,0.2657948,-0.8945471,-0.042860307,0.6298113,-0.49550676,-0.043005556,-0.5763409,-0.6973092
92,0.678,-0.043018978,0.2639912,-0.89605546,-0.042527754,0.6285208,-0.50034994,-0.043018978,-0.57602394,-0.69889635
93,0.6776,-0.043029312,0.2622041,-0.8975803,-0.04218325,0.6272469,-0.5051885,-0.043029312,-0.57572603,-0.7005095
94,0.6773,-0.04303658,0.26043338,-0.89912164,-0.04182671,0.62598956,-0.51002264,-0.04303658,-0.57544696,-0.70214856
95,0.6769,-0.043040797,0.25867888,-0.9006793,-0.041458055,0.6247486,-0.51485234,-0.043040797,-0.57518643,-0.7038135
96,0.6765,-0.04304198,0.25694048,-0.9022532,-0.041077208,0.62352383,-0.51967776,-0.04304198,-0.57494426,-0.70550424
97,0.6761,-0.043040156,0.25521806,-0.90384334,-0.040684093,0.6223152,-0.5244989,-0.043040156,-0.5747202,-0.70722073
98,0.6757,-0.043035336,0.2535115,-0.9054496,-0.040278625,0.6211226,-0.5293158,-0.043035336,-0.574514,-0.70896286
99,0.6753,-0.04302753,0.25182062,-0.90707195,-0.039860737,0.6199459,-0.53412867,-0.04302753,-0.57432544,-0.7107306
100,0.6749,-0.04301676,0.25014538,-0.90871024,-0.039430346,0.6187849,-0.53893745,-0.04301676,-0.5741543,-0.7125239
101,0.6745,-0.04300304,0.2484856,-0.91036445,-0.038987376,0.61763954,-0.54374224,-0.04300304,-0.5740004,-0.7143426
102,0.6741,-0.042986386,0.24684118,-0.9120345,-0.038531758,0.6165097,-0.54854316,-0.042986386,-0.57386357,-0.7161867
103,0.6737,-0.042966805,0.24521202,-0.91372037,-0.038063418,0.61539525,-0.5533402,-0.042966805,-0.5737435,-0.7180561
104,0.6734,-0.042944316,0.24359798,-0.9154219,-0.037582282,0.61429614,-0.5581335,-0.042944316,-0.5736401,-0.7199507
105,0.673,-0.042918935,0.24199897,-0.91713905,-0.037088286,0.61321217,-0.5629231,-0.042918935,-0.57355314,-0.72187036
106,0.6726,-0.042890675,0.24041486,-0.91887176,-0.03658136,0.61214334,-0.567709,-0.042890675,-0.57348245,-0.7238151
107,0.6722,-0.042859547,0.23884556,-0.92061996,-0.03606144,0.61108947,-0.5724914,-0.042859547,-0.57342786,-0.7257847
108,0.6718,-0.042825565,0.23729095,-0.9223836,-0.035528462,0.6100505,-0.57727027,-0.042825565,-0.5733892,-0.72777915
109,0.6714,-0.042788748,0.23575093,-0.9241626,-0.03498237,0.60902625,-0.5820457,-0.042788748,-0.5733662,-0.7297983
110,0.671,-0.042749107,0.23422539,-0.9259569,-0.03442309,0.6080167,-0.5868177,-0.042749107,-0.5733589,-0.73184216
111,0.6706,-0.042706657,0.23271424,-0.92776644,-0.03385058,0.6070218,-0.59158635,-0.042706657,-0.57336694,-0.7339105
112,0.6702,-0.04266141,0.23121737,-0.9295911,-0.033264775,0.6060414,-0.59635174,-0.04266141,-0.5733903,-0.7360033
113,0.6698,-0.042613387,0.22973467,-0.93143094,-0.03266562,0.6050753,-0.6011139,-0.042613387,-0.5734288,-0.7381204
114,0.6694,-0.0425626,0.22826608,-0.9332858,-0.032053076,0.60412353,-0.6058729,-0.0425626,-0.5734823,-0.7402617
115,0.669,-0.042509068,0.22681145,-0.9351556,-0.03142708,0.603186,-0.6106289,-0.042509068,-0.5735506,-0.74242705
116,0.6686,-0.0424528,0.22537073,-0.93704027,-0.0307876,0.6022626,-0.61538184,-0.0424528,-0.5736336,-0.74461645
117,0.6682,-0.042393822,0.22394381,-0.9389398,-0.030134587,0.6013533,-0.6201318,-0.042393822,-0.5737312,-0.74682975
118,0.6678,-0.042332146,0.2225306,-0.94085413,-0.029468,0.6004579,-0.6248788,-0.042332146,-0.5738432,-0.74906677
119,0.6674,-0.042267792,0.22113101,-0.9427832,-0.028787801,0.5995764,-0.629623,-0.042267792,-0.5739695,-0.75132746
